account_id,district_id,frequency,tenure_days,tx_count,tx_amount_mean,tx_amount_std,balance_mean,balance_min,balance_last,tx_count_per_year,has_loan,has_card,n_orders,order_amount_sum,n_inhabitants,n_muni_lt499,n_muni_500_1999,n_muni_2000_9999,n_muni_gt10000,n_cities,urban_ratio,avg_salary,unemp_95,unemp_96,n_entrepreneurs_per1000,crimes_95,crimes_96,churned
764,1,POPLATEK MESICNE,1818,291,2504.816151202749,2590.716466762049,24679.279037800687,1100.0,20535.3,58.46410891089109,0,0,1.0,2360.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
2087,7,POPLATEK TYDNE,1818,305,9984.826229508197,12762.609859312484,45794.57737704918,600.0,25633.8,61.27681518151816,0,0,1.0,4619.9,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289.0,4846,0
2122,68,POPLATEK MESICNE,1818,399,12320.721553884712,14365.902954066789,59401.23984962406,300.0,91931.1,80.1621287128713,0,0,1.0,7663.0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,0
3592,54,POPLATEK MESICNE,1818,295,2408.400338983051,2523.751656854547,23578.093898305084,600.0,22442.7,59.2677392739274,0,0,1.0,3360.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
3487,41,POPLATEK MESICNE,1818,388,5296.663402061856,6417.6276310287285,44002.253350515464,800.0,68300.0,77.95214521452147,0,0,2.0,8275.0,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0
435,38,POPLATEK MESICNE,1818,280,2050.0110714285715,2087.7359823396814,22645.631071428572,400.0,32139.4,56.254125412541256,0,0,1.0,3189.0,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,0
1730,1,POPLATEK MESICNE,1817,309,2447.338834951456,2683.7844476427367,35583.538511326864,900.0,51441.1,62.114611997798576,0,0,1.0,1978.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
1493,41,POPLATEK MESICNE,1817,340,1746.2632352941177,2126.343965250184,19119.944411764704,200.0,17043.7,68.34617501375895,0,0,2.0,2315.0,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0
374,38,POPLATEK MESICNE,1817,307,9756.391530944626,10569.18059696067,45339.955048859934,400.0,14837.4,61.71257567418823,0,0,0.0,0.0,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,0
2925,1,POPLATEK MESICNE,1816,329,2761.0434650455927,2825.6329463871793,26595.863525835866,1000.0,20698.4,66.17139317180617,0,0,1.0,4297.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
866,9,POPLATEK MESICNE,1816,521,3188.485028790787,4787.56357478239,34076.56238003839,500.0,38554.9,104.7881332599119,0,0,4.0,4851.0,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987.0,2487,0
1628,60,POPLATEK MESICNE,1816,277,1817.1606498194947,1800.5273943167545,17798.931407942237,700.0,19878.4,55.712692731277535,0,0,1.0,2850.0,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,0
2379,44,POPLATEK MESICNE,1816,407,1749.055773955774,2389.2686604343644,20843.26117936118,800.0,19553.9,81.85944383259913,0,0,3.0,3381.0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0
1979,26,POPLATEK MESICNE,1815,296,1177.9810810810811,1206.8131084354814,20228.953378378377,900.0,19018.7,59.56694214876033,0,0,1.0,2014.0,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041.0,6261,0
346,37,POPLATEK MESICNE,1815,346,7330.371387283237,8239.448463599327,45839.39710982659,800.0,53492.4,69.62892561983472,0,0,1.0,7875.0,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147.0,4166,0
1338,74,POPLATEK MESICNE,1815,474,7549.436497890295,11952.858328892205,48200.83164556962,400.0,28467.1,95.38760330578513,0,0,3.0,5599.0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0
1909,14,POPLATEK MESICNE,1814,404,915.3056930693069,1094.9651630894105,19169.461386138613,800.0,16847.1,81.34564498346197,0,0,3.0,2127.0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604.0,6295,0
2099,3,POPLATEK TYDNE,1814,334,12818.744311377244,14816.082438695554,65446.06047904192,149.6,85903.6,67.25110253583242,0,1,0.0,0.0,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824.0,2813,0
3760,44,POPLATEK MESICNE,1813,326,13861.367791411045,16076.060802494905,54356.76349693251,1000.0,80742.2,65.6765030336459,0,0,1.0,2947.8,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0
5270,44,POPLATEK MESICNE,1813,383,15212.694778067884,18800.30091075251,65869.15665796345,800.0,36134.6,77.15981798124656,1,0,1.0,3317.0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0
1699,53,POPLATEK MESICNE,1812,335,1797.1459701492538,2072.5161680581527,19016.692537313433,800.0,24332.6,67.52690397350993,0,0,2.0,3482.0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850.0,1903,0
3909,1,POPLATEK MESICNE,1812,458,6754.862008733624,9185.132933658026,44675.029694323144,700.0,54348.4,92.3203642384106,0,1,3.0,9609.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
2926,50,POPLATEK MESICNE,1812,511,2760.7767123287667,3897.594706510841,39476.49745596869,600.0,42911.3,103.00372516556291,0,0,4.0,4008.0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,0
1731,33,POPLATEK MESICNE,1812,281,1936.4017793594307,1906.878994652472,21117.314946619215,200.0,27032.3,56.6419701986755,0,0,1.0,2631.0,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650.0,4859,0
11265,15,POPLATEK MESICNE,1812,410,2654.733902439024,2984.748504203762,20970.001951219514,1000.0,23243.1,82.64486754966887,1,0,3.0,7512.0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845.0,1879,0
2519,4,POPLATEK MESICNE,1811,310,2023.5409677419354,2334.346177347065,25853.60935483871,500.0,39621.8,62.52208724461624,0,0,1.0,1599.0,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244.0,5892,0
10364,55,POPLATEK MESICNE,1809,402,4660.525373134328,5591.569800322028,41076.97935323383,1100.0,66238.8,81.16666666666667,1,0,2.0,6871.0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,0
1481,15,POPLATEK MESICNE,1809,284,1239.6852112676056,1260.1683694477067,17775.338028169015,1000.0,23764.2,57.34162520729685,0,0,1.0,2065.0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845.0,1879,0
401,32,POPLATEK MESICNE,1808,372,4363.010483870968,5315.304533667948,28667.187365591395,300.0,47178.1,75.15099557522124,0,0,2.0,5369.0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,0
4034,1,POPLATEK MESICNE,1808,298,2839.012080536913,4709.150141902267,33368.83187919463,-2994.6,58918.0,60.20160398230089,0,1,0.0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
2330,54,POPLATEK MESICNE,1807,329,1181.9103343465047,1368.011605179236,19020.17416413374,200.0,20667.0,66.50096845600443,0,0,2.0,2263.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
1806,40,POPLATEK MESICNE,1807,286,2022.4468531468533,1993.8762817486668,22549.821678321678,400.0,25794.0,57.80935251798561,0,0,1.0,2552.0,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,0
3834,54,POPLATEK MESICNE,1807,559,3326.998389982111,4700.519431593651,24652.533094812166,700.0,24797.9,112.9910071942446,1,0,5.0,8861.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
1222,66,POPLATEK MESICNE,1806,300,2426.5036666666665,2699.225926253008,32995.08533333333,700.0,33383.9,60.67275747508306,0,0,1.0,1727.0,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,0
212,27,POPLATEK TYDNE,1806,363,17542.405785123967,19393.99308256616,58635.412121212124,200.0,51197.1,73.4140365448505,0,1,1.0,13841.0,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029.0,1127,0
456,49,POPLATEK MESICNE,1805,327,18633.524159021406,21109.57530759421,65952.89143730886,700.0,62556.9,66.16994459833795,0,1,1.0,4783.1,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660.0,2123,0
459,47,POPLATEK MESICNE,1805,49,1704.0816326530612,2035.9231304735645,17059.183673469386,1000.0,8100.0,9.915373961218837,0,0,0.0,0.0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079.0,5410,0
772,45,POPLATEK MESICNE,1805,463,6547.394600431966,9515.710022856061,57884.62440604752,500.0,72017.3,93.69016620498616,0,0,3.0,5165.0,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080.0,2122,0
1019,52,POPLATEK MESICNE,1805,463,5504.2343412527,7310.092301666451,40461.40863930885,1100.0,41152.3,93.69016620498616,0,1,3.0,9364.0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564.0,2799,0
11295,74,POPLATEK MESICNE,1805,466,5147.624463519313,7226.562433304924,48106.14871244635,-1370.1,85914.5,94.2972299168975,0,0,0.0,0.0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0
2970,60,POPLATEK MESICNE,1804,255,4902.841960784313,4953.148494716535,32971.570196078435,400.0,21313.1,51.62901884700665,0,0,0.0,0.0,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,0
2676,73,POPLATEK MESICNE,1804,454,4295.296696035242,5688.198266071531,35236.69317180617,200.0,45144.3,91.91990022172949,0,0,3.0,5197.0,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355.0,4433,0
1536,41,POPLATEK TYDNE,1804,355,10207.715774647888,10803.544268440144,36508.06676056338,300.0,56307.1,71.87569290465632,0,0,1.0,13204.0,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0
1179,74,POPLATEK MESICNE,1803,270,1799.2485185185185,1723.0359634968077,17856.053703703703,700.0,21061.5,54.696339434276204,0,0,1.0,2808.0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0
280,25,POPLATEK MESICNE,1803,399,3980.3370927318297,4376.774962485364,29621.64987468672,300.0,41536.3,80.82903494176372,0,0,3.0,8985.0,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822.0,2218,0
2425,41,POPLATEK MESICNE,1803,343,3553.7679300291543,3628.059292235225,28283.9110787172,900.0,25208.5,69.48460898502496,0,0,1.0,5936.0,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0
9307,68,POPLATEK MESICNE,1802,527,7545.034155597723,11477.56601610299,55774.35142314991,900.0,79091.0,106.81839622641509,1,0,3.0,10880.5,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,0
4055,23,POPLATEK MESICNE,1802,290,8929.805517241379,9816.899275985692,40470.65620689656,200.0,32171.8,58.78052164261931,0,0,0.0,0.0,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879.0,3198,0
5065,66,POPLATEK MESICNE,1802,304,10141.154934210526,13104.351886287455,40433.524342105266,-5.0,47838.1,61.61820199778024,0,0,1.0,1541.3,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,0
3704,75,POPLATEK MESICNE,1802,308,2306.556168831169,2406.178153486066,25495.213636363635,500.0,38573.1,62.42896781354051,0,0,1.0,3046.0,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063.0,4505,0
477,1,POPLATEK MESICNE,1801,455,4603.95934065934,6568.7150326942965,41884.05230769231,1000.0,26665.8,92.2758189894503,0,0,3.0,3377.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,1
5891,54,POPLATEK MESICNE,1801,380,11021.50710526316,12971.94384123014,62626.13157894737,900.0,77786.7,77.06551915602442,1,1,1.0,5432.3,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
1000,77,POPLATEK MESICNE,1801,479,8339.240501043842,11410.584575006535,56613.604801670146,200.0,49199.6,97.14311493614659,0,0,3.0,7506.0,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460.0,3590,0
1750,1,POPLATEK MESICNE,1800,404,7867.051237623763,9803.977411058702,57771.645544554456,1100.0,49781.2,81.97833333333332,0,1,2.0,9545.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
2023,68,POPLATEK MESICNE,1800,504,5904.129166666667,8521.726683593137,48970.23908730159,200.0,84319.4,102.27,0,0,4.0,8631.0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,0
6473,12,POPLATEK MESICNE,1800,389,11846.670179948587,13838.776430515783,45846.8940874036,-1056.9,25774.6,78.93458333333334,1,0,1.0,6408.8,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,0
1649,46,POPLATEK MESICNE,1800,159,4189.4257861635215,9920.89425926135,28706.284905660377,700.0,15296.9,32.26375,0,1,0.0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854.0,2618,1
2670,13,POPLATEK MESICNE,1799,360,8590.301944444445,10180.588717298042,42219.058333333334,1100.0,48702.3,73.09060589216232,0,1,2.0,8732.0,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597.0,1875,0
1127,27,POPLATEK MESICNE,1799,342,8542.952923976607,9767.182133526443,57287.49239766081,600.0,95298.3,69.4360755975542,0,1,1.0,6260.0,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029.0,1127,0
163,30,POPLATEK MESICNE,1799,361,2132.877008310249,2400.2343707549157,26759.73157894737,900.0,34317.0,73.29363535297387,0,0,2.0,3728.0,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985.0,2804,0
2566,48,POPLATEK MESICNE,1799,60,1895.0,1644.4488026104007,16381.666666666666,800.0,8300.0,12.181767648693718,0,0,0.0,0.0,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655.0,1717,1
9,70,POPLATEK MESICNE,1799,305,1900.2777049180327,5081.48530560507,27445.719344262296,400.0,30649.4,61.9239855475264,0,0,0.0,0.0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0
1144,59,POPLATEK MESICNE,1798,287,1334.2801393728223,1359.212996240704,17477.485714285714,200.0,23447.0,58.30186318131257,0,0,1.0,2250.0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595.0,2305,0
2902,32,POPLATEK MESICNE,1798,398,6463.5148241206025,8177.8182047124465,38679.22462311558,200.0,40586.9,80.85066740823136,0,0,2.0,6290.0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,0
4296,63,POPLATEK MESICNE,1798,294,8091.355782312926,9279.881966433577,52466.32210884354,200.0,54106.5,59.72385984427141,0,1,0.0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,0
443,64,POPLATEK MESICNE,1798,374,922.7192513368984,1107.8560887142853,21767.638770053476,500.0,26741.5,75.97525027808676,0,0,3.0,2038.0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,0
3693,61,POPLATEK MESICNE,1797,341,5887.133431085044,6391.963067454523,45428.33988269795,1000.0,102090.1,69.3101001669449,0,0,1.0,8992.0,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112.0,2059,0
2070,72,POPLATEK MESICNE,1797,338,4814.3133136094675,5145.959704020316,35161.1949704142,300.0,49815.4,68.70033388981635,0,0,1.0,8092.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,0
1843,12,POPLATEK MESICNE,1796,379,5978.431926121372,6688.646258858912,33715.33245382586,1000.0,51562.9,77.0766982182628,1,1,2.0,9932.7,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804.0,3868,0
2714,1,POPLATEK MESICNE,1796,304,2835.6319078947367,6714.741140620848,28780.931249999998,800.0,30597.1,61.824053452115805,0,0,0.0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
4078,40,POPLATEK MESICNE,1796,267,11107.976779026216,11882.294482949577,59313.21835205993,300.0,105238.3,54.29941536748329,0,1,0.0,0.0,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,0
1675,36,POPLATEK MESICNE,1794,288,1735.6263888888889,1842.3598446964647,22700.858680555553,1100.0,23714.0,58.63545150501672,0,0,1.0,2125.0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796.0,6132,0
5868,44,POPLATEK MESICNE,1793,292,10121.01404109589,13180.29107302769,39493.217808219175,-3370.3,39496.8,59.48298940323481,0,0,1.0,1762.0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0
1805,1,POPLATEK MESICNE,1793,310,10052.862903225807,13261.646809622947,61318.20903225807,1100.0,93289.0,63.14974902398216,0,0,2.0,5803.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
2434,17,POPLATEK MESICNE,1793,309,2194.5129449838187,2307.058946696677,18703.024919093852,600.0,21328.2,62.94604015616286,0,0,1.0,2927.0,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003.0,1181,0
3007,16,POPLATEK MESICNE,1793,500,5728.7516,8395.04582562872,41499.1718,800.0,32053.8,101.85443390964865,0,0,4.0,8981.0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874.0,1913,0
2574,68,POPLATEK MESICNE,1793,343,5459.617201166181,6076.594862575957,40280.29795918367,1100.0,93089.0,69.87214166201898,0,0,1.0,9546.0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623.0,5887,0
862,64,POPLATEK TYDNE,1793,368,15350.695923913043,18706.589636278426,68729.51820652174,200.0,67343.5,74.9648633575014,0,1,1.0,3122.0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,0
1132,1,POPLATEK TYDNE,1792,341,17975.670967741935,20430.98429159255,66104.19413489736,1000.0,64584.0,69.50348772321429,0,1,0.0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
4484,54,POPLATEK MESICNE,1792,310,11429.465161290324,14751.161220626174,55294.24870967743,700.0,47145.2,63.18498883928572,0,0,0.0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
943,1,POPLATEK MESICNE,1792,287,1271.65574912892,1348.6796949640934,19445.23763066202,800.0,25099.2,58.49707031250001,0,0,1.0,2144.0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
3514,7,POPLATEK MESICNE,1792,290,1322.424827586207,1356.4939870453197,19450.57379310345,600.0,27711.4,59.10853794642858,0,0,1.0,2266.0,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289.0,4846,0
3983,67,POPLATEK MESICNE,1791,262,7091.713358778626,7486.990365916254,38512.94312977099,900.0,33822.8,53.43132328308208,0,0,0.0,0.0,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244.0,3079,0
9265,1,POPLATEK MESICNE,1791,538,8969.451486988848,12279.634238268998,63209.30985130112,300.0,95862.9,109.7177554438861,1,1,3.0,16808.3,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0
465,32,POPLATEK MESICNE,1791,318,5601.345597484276,5737.630804169001,27819.038050314462,700.0,13668.1,64.85175879396985,0,0,2.0,12404.5,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,1
982,54,POPLATEK MESICNE,1790,494,1442.2429149797572,1955.1434153910195,24313.38906882591,900.0,32031.7,100.80083798882683,0,0,4.0,3033.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,0
411,70,POPLATEK MESICNE,1790,344,6807.516860465115,7570.124000070911,43718.62005813954,400.0,82502.3,70.19329608938548,0,1,1.0,8499.0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0
890,14,POPLATEK MESICNE,1790,324,2956.800925925926,3024.9085690912007,25530.998765432098,700.0,19157.3,66.1122905027933,0,0,1.0,3136.0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604.0,6295,0
627,63,POPLATEK MESICNE,1790,356,7917.676123595506,8887.011640351222,49699.81235955056,600.0,70061.9,72.64189944134078,0,0,2.0,8782.0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562.0,1460,0
2429,61,POPLATEK MESICNE,1789,391,4769.782097186701,5897.304373445825,47837.73427109975,600.0,63108.0,79.82825600894355,0,0,2.0,7155.0,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112.0,2059,0
3960,64,POPLATEK MESICNE,1789,280,1953.8960714285715,1894.2026945144119,22758.01107142857,500.0,21376.5,57.16601453325881,0,0,1.0,3204.0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,0
